%Dados Gerados pela funçao w2weka                                               
@Relation VariavelMatlab                                                        
@attribute ATR1 real                                                            
@attribute ATR2 real                                                            
@attribute ATR3 real                                                            
@attribute ATR4 real                                                            
@attribute ATR5 real                                                            
@attribute ATR6 real                                                            
@attribute ATR7 real                                                            
@attribute ATR8 real                                                            
@attribute ATR9 real                                                            
@attribute ATR10 real                                                           
@attribute ATR11 real                                                           
@attribute ATR12 real                                                           
@attribute ATR13 real                                                           
@attribute ATR14 real                                                           
@attribute ATR15 real                                                           
@attribute ATR16 real                                                           
@attribute class {1,2,3,4,5}                                                    
@data                                                                           
167, 68, 56,163,134,256,256,127,176,256,199,149,169,256, 77, 48,4               
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1               
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1               
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1               
252,167,163,173,132,186,170,139,172,256,256,162,159,256,256,186,3               
177,256,256,256,134,184,202,224, 70,112,114, 98,160,256,256,256,5               
218,121,117,246,121,218,205,131,169,256,256,154,159,256,256,164,3               
161,256,256,256,130,188,192,212, 65,116,114, 98,158,256,256,256,5               
207, 95,100,234,124,228,233,102,174,256,215,158,168,256, 97, 59,4               
256,240,147,126,143,125,139,256, 91,102,124,256,256,228,112,103,2               
198, 68, 76,197,130,248,251,122,168,256,205,167,173,256, 98, 68,4               
181, 61, 67,189,133,254,252,118,160,256,199,176,173,256, 88, 65,4               
164,256,256,256,115,158,172,174, 97,148,130,142,164,256,256,256,5               
190, 64, 68,207,135,252,251,110,158,256,213,160,153,256,103, 59,4               
188, 51, 61,191,137,254,250,117,160,256,200,160,157,256,100, 49,4               
256,226,155,143,126,119,135,256, 89,104,129,256,256,225,108,102,2               
210, 52, 53,203,136,248,239, 98,176,256,256,160,143,256,256,161,3               
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1               
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1               
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1               
175,256,256,255,143,232,224,232, 63, 98, 97,105,164,256,256,256,5               
202, 64, 80,225,129,234,242,107,160,256,218,157,158,256,105, 78,4               
210, 86, 62,207,123,247,236,113,160,256,256,161,157,256,256,166,3               
167,256,256,256,143,218,212,216, 74, 80, 98, 90,160,256,256,256,5               
200, 82, 70,210,126,248,251,121,158,256,215,159,166,256, 93, 66,4               
180, 70, 74,162,120,252,254,134,168,256,204,160,170,256, 71, 64,4               
209, 48, 53,190,108,244,249,103,156,256,256,161,156,256,256,161,3               
162,256,256,256,110,174,164,172,108,153,162,168,162,256,256,256,5               
195, 66, 59,181,113,252,249,132,152,256,210,160,166,256, 85, 55,4               
256,240,163,146,149,121,123,256, 89,121,121,255,256,223,116, 98,2               
256,242,141,142,142,126,130,256, 93,106,120,256,256,224,117, 80,2               
200, 81, 60,187,123,254,256,117,174,256,256,157,157,256,256,179,3               
204, 59, 55,173,123,252,254,135,157,256,199,161,169,256, 82, 48,4               
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1               
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1               
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1               
216, 84, 95,224,133,238,240,115,160,256,225,154,160,256,115, 88,4               
203, 62, 46,217,130,250,243,107,160,256,223,154,153,256,113,102,4               
228,114, 77,197,130,235,222,116,160,256,256,155,159,256,256,172,3               
256,230,120,128,151,126,142,256, 92,120,129,256,255,190, 62,142,2               
240,124,110,193,126,207,219,119,158,256,256,155,150,256,256,174,3               
212, 63, 73,195,153,252,250,124,157,256,203,161,170,256, 96, 69,4               
202, 75, 68,206,142,254,252,104,155,256,256,159,148,256,256,168,3               
183, 65, 68,191,142,256,254,126,159,256,202,160,168,256, 84, 70,4               
256,236,123,149,121,142,147,256,134, 90,106,254,256,249,138, 83,2               
205, 61, 70,205,120,254,242,105,159,256,256,160,156,256,256,172,3               
164,256,256,256,108,164,160,186,101,155,160,164,162,256,256,256,5               
202, 78, 76,215,127,254,240,121,160,256,206,160,162,256, 85, 59,4               
202, 68, 78,178,135,252,254,119,160,256,205,168,174,256,108, 64,4               
